quick3_code,candidates
wp,思毗恩愚罷囮毘罠慁罳黓
wq,畔圍疄
wr,回固圄罟略畸點黠圁詈礨羇黵
ws,男黝嬲
wt,圔黭
wu,囤圈黜畹罨黕黖黤黦罍
wv,畏園囡甿褁瞏圜黮
ww,圖畾罶
wy,罪罫
xf,╒╤╕╞╪╡╘╧╛
xh,╓╥╖╟╫╢╙╨╜
xl,║
xm,═
xo,╭╮╰╯
xr,╔╦╗╠╬╣╚╩╝
y,卜
ya,迫音詣詢諸遭諧諳譜識迿誻諙謵譇旝譖齰
yb,市肓育肯帝帟訥逍通遇遍靖端膏膂誦誚誧遘膚請論適諦謂講邁謫邇譎齲旆迶离逋斒旓詴遄歶遰諝諞諯遹鬳謞謪謧譋譑齵
yc,六亦貞述貲旗選遺頻謙顏韻讀顫龔贛顱讚訹賌遉頏虡鈭諆頝頦錖謓謮譔贇旟譧齞齎顪贙齻
yd,杗迂迆享施迤桌柴訏訑迷棄途稟誅遊諄課諍謀諜謎譟斿虖竫粲誄誖諃謋謼齫
ye,叔歧返設竣詠詖逮遐敲遝毅諼護敁殶敊逑逡逯毃諏諔叡皻謖謢謏皽謾竷譭邍讂頀齱
yf,京紊烹逖紫詼遜熟諒談遮諫遼齋譙鶉讜祡鳪鳼鴗旚謜鮆鵁謶謤齌譕鶁鵫鶙鶐龒鷟讌鷲鷾鸇鸆虪鸕鸗
yg,主望逞逛童註逵進詮遑雍塾誑雌誰壅暹壑離雜韹壟邏齷迋觜誆詿遳諲諻讙
yh,步彥彪訝診歲彰諺謬迓玅虙訬逤逿虨齖齴
yi,玄玆討孰訟鹵逸詩颯導諷遵戲謝譏議齡讒竑歭訒旍竤詅戠誸諓虥譐譸蠪
yj,斗辛迅卒卓計訐訊率許連逢章評運誶辨辦避瓣譁譚辮譯辯聾顰迕逴諀遧諢諵諿韸謘謰譂嚲讘
yk,文交夜放奕效虔送族訣敦虞詨誤敵遨邀謨獻迖迗訞敨詙誒敹遫謑韺譈譀龑讞
yl,迎近郊訓訢速逝部郭新鄗辣邙邟邡旂竦詶鄐鄣齗齘
ym,上止些虐訌旌產逕虛証詛詆試遢誼誕謹齟讖与翊斌詌亶甝詡誙諠謔諈韰謆邅謯翽譠譅鹺亹譾斖讈齏
yn,亢亨迄刻亭訂剖訖處剷逾劇劑嬴諭甕羸贏斻迒瓬迾迻瓿誃劌甋謻齕蠃甗臝鸁
yo,亥迭畝逃旋逐該遂誣豪諛齒遽邃瓤齪鹼欬欳旐胔詄歆誂豦歊歑諑誺遯歔諟遾斔螤旞譣譹譺
yp,此忘氓亳託旎訛意詫誌認慮龍齜邐虍忐忞迡惄詑訿誋諗憝諰齔謥譓齥譿讔戇龘
yq,牽詳達違諱遴遲邂逄詊撉
yr,占吝言迦迢迥迨站迴追逅高商這造啻詞詁詔訶週裔詰話詬詻訾過旖語誥遣韶調諮諾譆譫鹹齣譴齬呰迠竘迵适迼砦逜詀詗詒逭詷詺逽諴謒謳譗齠齝礱讋齮讟
ys,方劾旁訪透詐虜誇誠誘虧謗邊卣迉迮勍逌詎詏勯諤勴謣勷齶
yt,立弈迸逗誡盧謐證衁迣詍誁竮諡邆謚髜齍齛齸
yu,充乩盲虎亮兗記訕逆毫竟就督詭道遁睿說遙遞遷親氈謊謠邈競巟辿迍旄眥訰訧旒覘詘詵覤諕誽氃虤遶遻謅謕罋覷譊譝齙齯齺齾
yv,亡妄衣巡妾哀旅衰衷退袞逶裒遏竭裹遠褒諉謁諶餐褻襄還邋齦襲讓玈袤袬袌袲裛裻誫誏褎諘飺褭褱褢謱譪譨饔裏
yw,迪畜迺逼遛斕遒諨旛譒讄讅讕
yx,齊諂
yy,卞卡於訃訴誨誹旃
za,　︳〉
zb,，╴︿
zc,、︴﹀
zd,。﹏「
ze,．（」
zf,‧）﹁
zg,；︵﹂
zh,：︶『
zi,？｛』
zj,！｝﹃
zk,︰︷﹄
zl,…︸﹙
zm,‥〔﹚
zn,﹐〕﹛
zo,︹﹜
zp,﹒︺﹝
zq,·【﹞
zr,﹔】‘
zs,﹕︻’
zt,﹖︼“
zu,﹗《”
zv,｜》〝
zw,–︽〞
zx,︱︾‵
zy,—〈′
